département;canton;commune;x;y;UN_Mot;HOMME_Mot;NE_Mot;AVAIT_Mot;PAS_Mot;QUE_Mot;DEUX_FILS_Mot;FILS_Mot;LE_Mot;PLUS_Mot;JEUNE_Mot;QUE_E2_T11_Mot;DIT_Mot;À_Mot;SON_Mot;PERE_Mot;TEMPS_Mot;QUE_1_T12_Mot;JE_SOIS_Mot;MON_Mot;MAITRE_Mot;ET_QUE_J_AIE_Mot;AIE_Mot;DE_L_Mot;ARGENT_Mot;QUE_E_T13_Mot;FAUT_Mot;QUE_T13_Mot;JE_PUISSE_Mot;ALLER_Mot;ET_QUE_JE_VOIS_Mot;JE_VOIE_Mot;DU_Mot;PAYS_Mot;PARTAGEZ_Mot;VOTRE_Mot;BIEN_Mot;ET_DONNEZ_MOI_Mot;DONNEZ_Mot;CE_Mot;DOIS_Mot;AVOIR_Mot;OUI_Mot;MON_Mot.1;COMME_Mot;VOUDRAS_Mot;ES_Mot;UN_MECHANT_Mot;MECHANT_Mot;SERAS_Mot;PUNI_Mot;PUIS_Mot;OUVRANT_Mot;TIROIR_Mot;PARTAGEA_Mot;FIT_Mot;DEUXF_Mot;PARTS_Mot;EGALES_Mot;PEU_Mot;JOURS_Mot;APRES_Mot;LE_Mot;MECHANT_Mot;ALLA_Mot;DU_Mot;VILLAGE_Mot;EN_Mot;FAISANT_Mot;FIER_Mot;SANS_Mot;DIRE_Mot;ADIEU_Mot;A_Mot;PERSONNE_Mot;QUE_E1_T23_Mot;TRAVERSA_Mot;BEAUCOUP_Mot;LANDES_Mot;BOIS_Mot;RIVIERES_Mot;DANS_Mot;UNE_Mot;GRANDE_Mot;VILLE_Mot;OU_Mot;DEPENSA_Mot;TOUT_Mot;SON_Mot;ARGENT_Mot;BOUT_Mot;QUELQUES_MOIS_Mot;MOIS_Mot;VENDRE_Mot;SES_Mot;A_UNE_Mot;VIEILLE_Mot;FEMME_Mot;POUR_ETRE_Mot;ETRE_Mot;VALET_Mot
Gironde;Canton d'Audenge;Andernos-les-Bains;-1.0925184;44.7476897;ün;homme;n;aouè;NA;que;dus;hills;lou;mey;jéne;NA;dichut;à;son;paï;téms;que;sisgui;mon;meste;et;aji;ø;argènt;NA;faut;que;pusqui;ana;et;bèji;daou;païs;partatgets;boste;bèn;et;baillèts;ce;dioui;aougè;on;mon;coum;boudras;sès;ün;machant;sras;punit;apey;oubrïns;tiroir;partatget;hit;duous;parts;égales;tchic;jouns;apress;lou;machant;angut;daou;NA;en;hèns;fiert;chèn;dide;adiu;à;digün;ø;traouasset;hort;landes;bos;ribeyres;déns;une;grande;bille;oun;despénset;tout;son;argènt;bout;quaouques;més;bénde;sas;à ;bieille;hémne;pér;esta;baïlét
Gironde;Canton d'Audenge;Arès;-1.1379928;44.767644;ün;homme;n;aouait;NA;que;dus;hils;lou;mey;jënne;NA;dichut;à;soun;paï;temps;que;siguy;moun;meste;et;aoujy;ø;argënt;NA;faou;que;pusquy;anna;et;bédy;daou;paÿs;partayestz;boste;bën;et;dounet;ce;dioui;aoujé;o;moun;coume;boudras;sés;ün;machant;seras;punit;pey;oubrit;tirette;partayait;hit;duous;parts;égalets;quaouques;jours;après;lou;machant;angut;daou;billaye;ën;hem;glourious;chën;dide;adiü;à;digün;ø;traouessait;hort;landes;boïs;ribeyres;dëns;une;grande;bille;aoun;despensait;tout;soun;argënt;bout;quaouques;més;bënde;sas;ën d;bieille;hëmne;pre;esta;baylet
Gironde;Canton d'Audenge;Audenge-bis;-1.0154992868363;44.6949839851185;un;homme;n;aoué;NA;que;dux;hills;lou;mey;june;NA;dichut;NA;NA;paï;témps;que;siji;mon;méste;et;aji;ø;argén̈;NA;faout;que;pusqui;ana;et;béji;ø;païs;partatjats;boste;bén;NA;baillats;ce;dioui;aoué;o;mon;coum;voudras;es;NA;machan̈;sras;punit;labèts;aourit;tiroir;partatjet;hét;dioues;parts;égales;quaouques;jouns;après;lou;machan̈;angut;dou;bilatje;ēn̈;hén̈s;fiert;son;dide;arré;à;digun̈s;ø;traouasset;hort;landes;boïs;ribeyres;den̈s;une;grande;bile;aoun;dèspensét;tout;son;argén̈;bout;quaouques;mēs;bēn̈de;sas;ēn̈ d;biēille;hemne;pēr;ēsta;baïlét
Gironde;Canton d'Audenge;Audenge;-1.0198568;44.6883648;ün;homme;n;aoué;NA;que;dus;hilleh;lou;mey;june;NA;dichut;à;son;päy;téms;que;siji;mon;méste;et;aji;ø;argén;NA;faou;que;pusqui;ana;et;bédi;ø;pays;partatjéts;boste;bên;et;baillets;ce;dioui;ajé;oui;mon;coum;boudras;sés;ün;machän;seras;punit;api;aoubrins;tiroir;partajét;hit;dioues;parts;égales;tchit;jouns;après;lou;machän;angut;dou;bilatje;ên;héns;fiért;chén;dide;adieu;à;digüns;ø;traouassét;hort;landes;boïs;ribéyres;dêns;une;grande;bile;aoun;despênsét;tout;son;argén;bout;caouques;mês;bênde;sas;à ;biêille;hmne;pêr;esta;bäylét
Gironde;Canton d'Audenge;Biganos;-0.9696271;44.6440908;ün;home;n;aoué;pas;que;dus;hills;lou;meÿ;juouénn;NA;dichut;à;son;paÿ;téms;que;siji;mon;méste;ét;aji;ø;argénn;NA;faou;que;pusqui;ana;ét;béji;ø;péïs;partatjat;boste;bén;ét;baillét;ce;dioui;aoué;o;mon;coum;boudras;sés;ün;machann;sras;punit;api;aourïnn;tiroire;partatjét;hit;duoues;pourtiouns;égales;tchic;jounns;après;lou;machann;angut;dou;bilatje;énn;hénns;fière;chénn;dide;adiu;à;digüns;ø;traouassét;hort;landes;boÿs;ribeÿres;dénns;une;grande;bile;aounn;despennsét;tout;son;argénn;bout;caouques;més;bénnde;sas;à ;biéille;hémne;per;esta;domestique
Gironde;Canton d'Audenge;Lacanau-de-Mios;-0.850644;44.6555761;un;homme;n;aoué;pas;que;dus;hilhs;lou;mey;joueun;NA;dichut;à;son;paÿ;temps;que;siji;moun;méste;et;aji;ø;argén;NA;faou;que;pusqui;ana;et;bégi;ø;péys;partatget;boste;bén;et;baillét;ce;dioui;aoue;oui;moun;coume;bourras;ès;un;machant;seras;punit;epi;aourit;tireute;partatgét;hit;duous;pourtiouns;eugales;tchic;jouns;après;lou;machant;angut;dou;biladge;eun;hins;fier;chèt;dide;adichats;à;diguns;ø;traouassèt;hort;landes;boys;arribéyres;deheun;une;grande;bile;oun;deuspenset;tout;son;argén;cap;caouques;meus;beunde;sas;à ;bieuille;fimèle;peur;eusta;beyleut
Gironde;Canton d'Audenge;Lanton;-1.0360314;44.7035574;ün;homme;n;aoué;NA;que;dus;hillchs;lou;méy;june;NA;dichut;à;son;päy;téms;que;siji;mon;méste;et;aouji;ø;argén;NA;faou;que;pusqui;ana;et;béji;dou;paÿs;partadjéts;boste;bén;et;bailléts;ce;dïoui;aoujé;oui;mon;coum;büillis;cés;ün;machan;seras;punit;api;aoubrit;tiroir;partadjét;hit;düoueus;pourtiouns;égaleus;caouque;jouns;apress;lou;machan;angut;dou;biladje;eun;héns;fiér;chén;dide;adiu;à;digüns;ø;traouassét;hort;landeus;boÿs;ribéÿres;deuns;une;grande;bile;äoun;despeunsét;tout;son;argén;bout;caouques;més;bénde;sa;à ;biéille;hémne;peur;eusta;baÿlét
Gironde;Canton d'Audenge;Lège;-1.1472098;44.7951052;ün;homme;n;aouè;NA;que;dus;hils;lou;pè;jéne;NA;dichut;à;soun;paï;téms;qué;sigi;moun;mèste;é;aougy;ø;argén;NA;faou;qué;pusqui;ana;é;bégi;ø;païs;partatyètz;boste;bén;é;dounètz;cè;dioui;aougé;oui;moun;coume;bourras;sès;un;machant;saras;punit;alabey;oubrïns;tiroirt;partatyèt;hit;duous;parts;égalës;quaouquës;jouns;aprèz;lou;machant;angut;daou;bilatche;én;hèns;fièrt;chèn;dide;adiü;à;digün;ø;traouésset;hort;landës;bos;ribeyres;déns;une;grande;bile;aoun;despensèt;tout;soun;argén;bout;quaouquës;més;bénde;sas;à ;bieille;hémne;pr;esta;baylét
Gironde;Canton d'Audenge;Mios;-0.9349464;44.6045208;un;omme;n;aoué;pa;que;dus;hills;lou;méï;joueun;NA;dichut;à;soun;paï;téms;que;siji;moun;méste;NA;aji;ø;argén;NA;faou;que;pusqui;ana;NA;béji;ø;péïs;partatgét;boste;béng;NA;baillét;so;diouï;aoueu;oui;moun;coume;bourras;es;un;machann;sras;punit;api;aourrïns;tireute;partatgét;hit;duoueus;pourtiouns;eusgales;tchic;jouns;aprèss;lou;machann;angut;dou;bilatge;eun;hèns;fier;chèn;dide;adiou;à;digüns;ø;traouassét;hort;landes;boïs;arribéyres;dehun;une;grande;bile;aoun;deuspensét;tout;son;argèn;cap;caouques;meus;beunde;sa;à ;bieuille;hemne;peur;eusta;béïleut
Gironde;Canton d'Auros;Ailas;-0.0667;44.4667;un;homme;n;aouè;NA;qué;dus;gouyats;lou;pu;jouén;NA;dissout;à;soun;pay;téms;qué;siyi;moun;mèste;et;aouji;ø;argén;NA;faou;qué;pousqui;ana;et;bési;ø;pays;partatjats;boste;bén;et;baillats;ço;dioui;aoué;o;moun;coume;bourras;es;un;méchant;seras;punit;puÿ;oubrin;tiréte;partatjèt;hit;dus;parts;égales;tchic;jouns;après;lou;méchant;angout;dou;bilatche;en;asén;fiè;chén;dise;adiou;en;digun;ø;traouéssèt;bién;lanes;boÿs;ribères;dens;une;grande;bile;oun;déspénsèt;tout;soun;argén;bout;quaouques;més;bénde;ses;én d;biéille;fame;pér;èste;baylét
